Gender,Stat,Age,5th,10th,25th,50th,75th,90th,95th
M,W,111.5,23.24593,24.35189,26.50246,29.48359,33.37646,38.08898,41.74388
M,W,112.5,23.42779,24.54962,26.73177,29.758,33.7117,38.50008,42.21507
M,W,113.5,23.61117,24.74929,26.96376,30.03602,34.05144,38.91622,42.69124
M,W,114.5,23.79613,24.95096,27.19851,30.3177,34.39573,39.33741,43.17232
M,W,115.5,23.98277,25.1547,27.43609,30.60311,34.7446,39.76363,43.65825
M,W,116.5,24.17115,25.3606,27.67657,30.8923,35.09808,40.19484,44.14895
M,W,117.5,24.36137,25.56874,27.92001,31.18533,35.4562,40.63103,44.64432
M,W,118.5,24.55351,25.77921,28.16651,31.48225,35.81896,41.07214,45.14428
M,W,119.5,24.74766,25.99208,28.41613,31.78312,36.1864,41.51813,45.64872
M,W,120.5,24.94392,26.20745,28.66894,32.08799,36.55851,41.96894,46.15753
M,W,121.5,25.14238,26.42541,28.92502,32.3969,36.93529,42.42452,46.6706
M,W,122.5,25.34314,26.64604,29.18446,32.70991,37.31675,42.88478,47.1878
M,W,123.5,25.54631,26.86945,29.44731,33.02704,37.70287,43.34967,47.70901
M,W,124.5,25.75198,27.09573,29.71365,33.34835,38.09365,43.81908,48.23408
M,W,125.5,25.96027,27.32496,29.98357,33.67387,38.48906,44.29292,48.76288
M,W,126.5,26.17126,27.55726,30.25713,34.00363,38.88907,44.77111,49.29526
M,W,127.5,26.38509,27.7927,30.53439,34.33766,39.29366,45.25354,49.83107
M,W,128.5,26.60184,28.0314,30.81543,34.67599,39.7028,45.7401,50.37016
M,W,129.5,26.82163,28.27343,31.10032,35.01864,40.11642,46.23066,50.91236
M,W,130.5,27.04457,28.51891,31.38912,35.36562,40.5345,46.72512,51.45752
M,W,131.5,27.27076,28.76791,31.68189,35.71695,40.95697,47.22334,52.00546
M,W,132.5,27.50031,29.02052,31.97868,36.07263,41.38377,47.72519,52.55602
M,W,133.5,27.73332,29.27685,32.27955,36.43266,41.81484,48.23054,53.10903
M,W,134.5,27.96989,29.53696,32.58454,36.79704,42.2501,48.73924,53.66432
M,W,135.5,28.21013,29.80095,32.89371,37.16577,42.68947,49.25114,54.22171
M,W,136.5,28.45412,30.06888,33.20709,37.53881,43.13287,49.76611,54.78102
M,W,137.5,28.70197,30.34084,33.52472,37.91616,43.5802,50.28397,55.34208
M,W,138.5,28.95376,30.61689,33.84662,38.29777,44.03137,50.80458,55.9047
M,W,139.5,29.20958,30.8971,34.17281,38.68361,44.48627,51.32778,56.46873
M,W,140.5,29.4695,31.18151,34.5033,39.07364,44.94478,51.85339,57.03397
M,W,141.5,29.7336,31.4702,34.83811,39.46781,45.40679,52.38125,57.60024
M,W,142.5,30.00195,31.76319,35.17724,39.86604,45.87218,52.91119,58.16739
